geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
"Kent County, Delaware",Total,05000US10001,1,176700,0,135940,0,171545,667,131145,614
"Kent County, Delaware",Not Hispanic or Latino,05000US10001,2,164215,0,127800,0,161055,531,124885,480
"Kent County, Delaware",American Indian or Alaska Native Alone,05000US10001,3,915,137,855,124,915,137,855,124
"Kent County, Delaware",Asian Alone,05000US10001,4,3645,351,3110,250,2725,314,2205,226
"Kent County, Delaware",Black or African American Alone,05000US10001,5,44415,693,33535,363,42825,751,32175,483
"Kent County, Delaware",Native Hawaiian or Other Pacific Islander Alone,05000US10001,6,120,69,120,69,120,69,120,69
"Kent County, Delaware",White Alone,05000US10001,7,109010,28,87075,28,108420,174,86485,173
"Kent County, Delaware",American Indian or Alaska Native and White,05000US10001,8,640,137,475,123,640,137,475,123
"Kent County, Delaware",Asian and White,05000US10001,9,1150,258,645,187,1105,244,595,179
"Kent County, Delaware",Black or African American and White,05000US10001,10,2635,497,965,224,2635,497,965,224
"Kent County, Delaware",American Indian or Alaska Native and Black or African American,05000US10001,11,630,354,480,273,630,354,480,273
"Kent County, Delaware",Remainder of Two or More Race Responses,05000US10001,12,1060,400,545,239,1045,392,535,229
"Kent County, Delaware",Hispanic or Latino,05000US10001,13,12485,0,8140,0,10490,486,6265,452
"New Castle County, Delaware",Total,05000US10003,1,556165,0,435515,0,523010,1723,405495,1541
"New Castle County, Delaware",Not Hispanic or Latino,05000US10003,2,500865,0,399310,0,480310,1315,380805,1098
"New Castle County, Delaware",American Indian or Alaska Native Alone,05000US10003,3,1225,183,1060,130,1215,181,1050,128
"New Castle County, Delaware",Asian Alone,05000US10003,4,30880,488,23995,377,18230,834,12565,686
"New Castle County, Delaware",Black or African American Alone,05000US10003,5,137140,973,103280,560,132975,1103,99600,837
"New Castle County, Delaware",Native Hawaiian or Other Pacific Islander Alone,05000US10003,6,165,47,120,32,155,42,110,35
"New Castle County, Delaware",White Alone,05000US10003,7,320130,28,265310,28,316905,463,262355,435
"New Castle County, Delaware",American Indian or Alaska Native and White,05000US10003,8,890,183,590,130,890,183,590,130
"New Castle County, Delaware",Asian and White,05000US10003,9,2245,352,1215,248,1965,321,1000,207
"New Castle County, Delaware",Black or African American and White,05000US10003,10,5975,925,2060,450,5945,927,2035,450
"New Castle County, Delaware",American Indian or Alaska Native and Black or African American,05000US10003,11,665,185,595,189,665,185,595,189
"New Castle County, Delaware",Remainder of Two or More Race Responses,05000US10003,12,1545,476,1085,372,1360,409,900,302
"New Castle County, Delaware",Hispanic or Latino,05000US10003,13,55300,0,36210,0,42700,879,24695,803
"Sussex County, Delaware",Total,05000US10005,1,224385,0,182110,118,215015,769,173640,617
"Sussex County, Delaware",Not Hispanic or Latino,05000US10005,2,203805,0,170110,119,200665,588,167190,553
"Sussex County, Delaware",American Indian or Alaska Native Alone,05000US10005,3,710,201,665,200,695,206,660,201
"Sussex County, Delaware",Asian Alone,05000US10005,4,2940,166,2415,59,2205,249,1740,196
"Sussex County, Delaware",Black or African American Alone,05000US10005,5,26780,545,20105,260,25520,671,18960,501
"Sussex County, Delaware",Native Hawaiian or Other Pacific Islander Alone,05000US10005,6,75,59,60,47,75,59,60,47
"Sussex County, Delaware",White Alone,05000US10005,7,168910,28,144990,28,167830,243,143940,239
"Sussex County, Delaware",American Indian or Alaska Native and White,05000US10005,8,1020,203,760,183,1020,203,760,183
"Sussex County, Delaware",Asian and White,05000US10005,9,365,156,110,52,350,150,90,45
"Sussex County, Delaware",Black or African American and White,05000US10005,10,2100,434,410,161,2090,435,400,159
"Sussex County, Delaware",American Indian or Alaska Native and Black or African American,05000US10005,11,445,363,230,158,445,363,230,158
"Sussex County, Delaware",Remainder of Two or More Race Responses,05000US10005,12,470,155,370,153,445,143,345,140
"Sussex County, Delaware",Hispanic or Latino,05000US10005,13,20575,0,12000,0,14350,643,6445,383
